,Rating,Review
0,4,"The paella was delicious, my only comment is that the muscles were basically disintegrated. The pork in the el Classico Plato was tender and juicy Would pass on the white sangria, a half pitcher filled two glasses up to the top."
1,4,Excellent food. Highly recommend the Mar Y Tierra (hangar steak) and Ropa Vieja (braised skirt steak).
2,5,"It had been a while since I've been back to Hoboken so I was glad to be back.  I decided to stop for a drink at this place because my wife heard some good music coming from inside.  We were sure glad we did.  This spot was fun!  Carlos the bartender and Sandra the manager were fantastic hosts.  They told us stories that had us laughing so hard they left me in tears.   Carlos made me a drink that was outstanding.  A cucumber spicy margarita, however after drinking it, I decided to eat the pepper and it was hotter than $&amp;@!  Sandra made me an antidote that thank the lord cooled me down.  Since we had just eaten before entering this place we weren't going to eat but the food looked so good we decided to try a couple of apps.  The empanadas and the guac served with thinly sliced tostones were delicious.  I get the feeling dinner will be fantastic.  I will be back!  The only negative I have to say about this place is that the if you have to go to the bathroom after having a few drinks you could end up impaled by the stairs you have to climb.  Lol!"
3,4,"This Cuban restaurant is a surprise at the beginning-they have outside seating and as you enter it seems small with 2 or 4 table seating and the bar loved how quaint the atmosphere was. As you head to the bathroom upstairs they have more seatings with a large Cuban sign a step down more seating then you go slightly up the stairs and more seating. I was truly amazed how accommodating the restaurant was. But we sat at the bar and Carlos the bartender (funny guy) made us a delicious margarita drink then he told us about this jalapeño infused tequila drink he makes and that was one of the best drinks I have ever had. Carlos also made me a grape fruit spicy drink with tequila as well sooo good. We then meet Sandra the manager what a beautiful lady (mind you when we got to the bar it was early). We had the pleasure of having a fun time with much needed laughter and conversations, thank you Carlos and Sandra for making us feel very special. We didn't eat dinner but we had appetizers the empanadas were very good and their guacamole with plantain chips amazing. We will definitely be going back for dinner see you soon Sandra and Carlos"
4,4,"In addition to the paella which was a bit too hot but in general really tasty once it cooled down, we got spicy margaritas and plantain chips with guacamole at the bar before sitting down to eat. The plantain chips were easily the best we've ever had and are now in search of more plantain chips, and the margaritas were good. While it was a Friday night so it was a bit crowded we did have to wait quite a bit longer than they had originally told us. However the servers were all very friendly, the vibes were great, and we definitely recommend!"
5,4,The food was yummy and flavorful. The service was great and the server recommended a few drinks and it just made the experience better. The ambiance was on relaxed and felt like a perfect date spot.  if you want an enjoyable couple night out this is the place.
6,5,"Food, Service and Ambiance Grace this cherished establishment. Local and trusted. We leave Manhattan for Hoboken a few times a year. One of our first Lunch spots. The action is non-stop with locals, tourists and old family neighbors."
7,1,"I came here two years ago and the food was good and the drinks were good also. However we came today and the paella we ordered was burnt and the seafood was not great excep for the shrimp. The appetizer was good, mussels with chorizo and it was good."
8,4,"Second time visiting here and i enjoyed the food yet again!If i remember right, i got the Churrasco before and it was delicious! This time I tried the Vaca frita and it was flavorful and filling! It was served with white rice and a side of black beans which you can drizzle on (the rice i mean). We got the Caesar salad with chicken on the side and the Pollo Criollo. That Pollo was sooo good! There was really good flavor on the meat and paired with fried rice..mmmm!It is a bit pricey but since we quite enjoyed the food and even the service, we'll let that one slide for now lol"
9,1,"Name is deceptive. The master chef  is Mexican not Cuban. That's not what I wanted from a supposed  CUBAN cuisine. Cuban and Mexican are nothing alike in flavor , condiments or cooking methods. Change the name or the Chef"
10,5,"This place was fantastic. Just to start, showed up to our resy early and they were able to seat us right away. The vibes were amazing and the place had an abundance of seating. From the greeter, to our waiter everyone was so genuinely nice. On to the food...we got the guacamole and plantain chips, OMG. So good and FRESH. Our main courses consisted of skirt steak and slow cooked shredded skirt steak. The meat was cooked perfect and soooooo full of flavor. The price was reasonable for the servings. I def recommend."
